City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
493,Goianesia,BR,-15.3175,-49.1175,71.64,75,58,2.86,broken clouds
494,Karema,TZ,-6.8205,30.4389,72.12,82,100,4.56,light rain
495,Itoigawa,JP,37.0333,137.85,66.02,48,43,4.05,scattered clouds
496,Longyearbyen,SJ,78.2186,15.6401,22.84,68,20,10.36,few clouds
497,At-Bashi,KG,41.1702,75.8106,17.91,44,3,1.59,clear sky
498,Roebourne,AU,-20.7833,117.1333,85.46,28,0,15.79,clear sky
499,Magan,ES,39.9683,-3.931,56.32,75,0,2.15,clear sky
500,Bam,IR,29.106,58.357,59.61,35,43,1.52,scattered clouds
501,Nalut,LY,30.3333,10.85,58.14,42,6,7.9,clear sky
502,Naregal,IN,15.5833,75.8167,71.96,60,8,10.16,clear sky
503,Dukat,RU,62.55,155.55,-15.34,98,70,4.5,broken clouds
504,Geraldton,AU,-28.7667,114.6,72.01,49,27,13.8,scattered clouds
505,Darnah,LY,32.767,22.6367,66.42,65,0,13.85,clear sky
506,Yilan,TW,24.757,121.753,88.02,72,18,4.63,few clouds
507,Mitsamiouli,KM,-11.3847,43.2844,79.09,73,20,16.11,few clouds
508,Pochutla,MX,15.7432,-96.4661,77.83,92,0,3.83,light rain
509,Cuitlahuac,MX,18.8167,-96.7167,68.99,96,64,2.46,light rain
510,Warrensburg,US,38.7628,-93.7361,71.67,74,0,12.66,clear sky
511,Vardo,NO,70.3705,31.1107,37.38,87,100,14.97,light rain
512,Sibu,MY,2.3,111.8167,82.71,78,40,3.44,scattered clouds
513,Saint-Joseph,RE,-21.3667,55.6167,76.48,71,64,7.31,broken clouds
514,Popondetta,PG,-8.7537,148.2534,89.62,58,59,4.88,broken clouds
515,Nichinan,JP,31.6,131.3667,71.28,62,19,4.29,few clouds
516,Nisia Floresta,BR,-6.0911,-35.2086,76.01,85,33,6.91,scattered clouds
517,Krasnyy Chikoy,RU,50.3643,108.7512,30.49,90,100,4.18,light snow
518,Machiques,VE,10.0644,-72.545,74.7,93,100,6.38,moderate rain
519,Seydi,TM,39.4816,62.9137,39.74,66,0,7.25,clear sky
520,Buala,SB,-8.145,159.5921,83.05,77,100,10.25,light rain
521,Doka,SD,13.5167,35.7667,73.04,36,39,5.01,scattered clouds
522,Coihaique,CL,-45.5752,-72.0662,50.61,71,0,2.3,clear sky
523,Cessnock,AU,-32.8333,151.35,76.55,37,2,7.76,clear sky
524,Dingle,PH,10.9995,122.6711,85.23,72,73,11.74,broken clouds
525,Sambava,MG,-14.2667,50.1667,70.95,78,87,5.97,overcast clouds
526,Totness,SR,5.8833,-56.3167,77.43,88,100,4.38,overcast clouds
527,Morant Bay,JM,17.8815,-76.4093,80.22,79,1,4.41,clear sky
528,Pitkyaranta,RU,61.5734,31.4792,44.78,98,100,12.12,light rain
529,The Valley,AI,18.217,-63.0578,81.1,73,80,14.85,broken clouds
530,Malanje,AO,-9.5402,16.341,62.73,98,100,4.36,overcast clouds
531,Antofagasta,CL,-23.65,-70.4,61.88,74,40,2.71,scattered clouds
532,Pangkalanbuun,ID,-2.6833,111.6167,87.31,62,100,3.33,overcast clouds
533,Hofn,IS,64.2539,-15.2082,43.74,93,100,18.75,overcast clouds
534,Luwuk,ID,-0.9516,122.7875,86.54,65,98,3.33,overcast clouds
535,Nara,JP,34.6851,135.8049,71.96,48,93,3.85,overcast clouds
536,Pangnirtung,CA,66.1451,-65.7125,1.56,96,100,1.92,overcast clouds
537,Nadym,RU,65.5333,72.5167,-1.26,90,5,6.53,clear sky
538,Rock Sound,BS,24.9,-76.2,80.69,78,80,24.16,broken clouds
539,Port-Cartier,CA,50.0334,-66.8654,34.02,76,100,10.25,overcast clouds
540,Namatanai,PG,-3.6667,152.4333,86.29,67,54,8.14,light rain
541,Ipixuna,BR,-1.7625,-48.8043,72.66,92,100,3.78,overcast clouds
542,College,US,64.8569,-147.8028,16.12,89,75,0.0,broken clouds
543,Tucurui,BR,-3.7661,-49.6725,74.68,85,48,2.26,scattered clouds
544,Ibb,YE,13.9667,44.1833,59.29,66,0,4.68,clear sky
545,Gravelbourg,CA,49.8834,-106.5512,5.27,90,100,7.16,overcast clouds
546,Ust-Karsk,RU,52.7011,118.8077,24.75,59,21,2.1,few clouds
547,Maple Creek,CA,49.9168,-109.4848,10.81,78,100,2.3,overcast clouds
548,Bar Harbor,US,44.3876,-68.2039,48.02,72,0,14.97,clear sky
549,Mbandaka,CD,0.0487,18.2603,70.29,98,99,3.02,overcast clouds
550,Malinovoye Ozero,RU,51.6753,79.7825,27.54,88,87,8.34,overcast clouds
551,Barra Do Garcas,BR,-15.89,-52.2567,80.06,58,80,1.5,broken clouds
552,Calabozo,VE,8.9242,-67.4293,75.67,88,97,3.49,overcast clouds
553,Maues,BR,-3.3836,-57.7186,73.9,92,56,2.73,broken clouds
554,Ketchikan,US,55.3422,-131.6461,30.18,52,97,4.18,overcast clouds
555,Moron,AR,-34.6534,-58.6198,71.35,63,15,9.01,few clouds
556,Rawson,AR,-43.3002,-65.1023,67.23,57,100,12.95,overcast clouds
557,Bang Mun Nak,TH,16.0278,100.3792,79.75,71,99,5.28,overcast clouds
558,Tigil,RU,57.8,158.6667,26.98,94,100,5.5,light snow
559,Srednekolymsk,RU,67.45,153.6833,-2.51,97,100,3.76,light snow
560,Imeni Babushkina,RU,59.7573,43.1285,42.53,98,100,6.73,overcast clouds
561,Benjamin Hill,MX,30.1667,-111.1,59.54,69,0,9.75,clear sky
562,Salalah,OM,17.0151,54.0924,73.49,60,0,3.44,clear sky
563,Atambua,ID,-9.1061,124.8925,86.02,60,71,3.09,broken clouds
564,Goderich,CA,43.7501,-81.7165,59.92,33,66,17.27,broken clouds
565,Borogontsy,RU,62.6683,131.1683,-1.84,92,99,4.07,overcast clouds
566,Killarney,IE,52.05,-9.5167,57.61,88,100,11.81,light rain
567,Yar-Sale,RU,66.8333,70.8333,-1.8,93,14,6.06,few clouds
568,Aconibe,GQ,1.2968,10.9369,66.16,99,100,1.48,light rain
569,Port-Gentil,GA,-0.7193,8.7815,76.17,91,100,7.7,heavy intensity rain
570,Manokwari,ID,-0.8667,134.0833,82.49,75,100,5.19,overcast clouds
571,Kurmanayevka,RU,52.5093,52.0675,34.79,94,100,11.16,overcast clouds
