City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Beaufort,MY,89.62,moderate rain,5.3473,115.7455,The Gem Hotel Beaufort
403,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
404,Kerema,PG,84.42,overcast clouds,-7.9631,145.7785,Frena Lodge
406,Tuatapere,NZ,66.42,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
407,Esperance,AU,71.67,overcast clouds,-33.8667,121.9,Hospitality Esperance
408,Bontang,ID,81.77,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
409,Selenice,AL,56.79,clear sky,40.5306,19.6358,Rromes
410,Kutum,SD,62.28,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
411,Aberdeen,GB,56.5,few clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
413,Shimoda,JP,71.96,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
414,Dongsheng,CN,50.16,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
415,Adrar,MR,70.29,clear sky,20.5022,-10.0711,
417,Aitape,PG,83.44,heavy intensity rain,-3.1374,142.3475,
418,Gambela,ET,70.12,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
419,Fuxin,CN,54.09,clear sky,42.0156,121.6589,Xinya International Hotel
420,Canutama,BR,73.96,broken clouds,-6.5339,-64.3831,Endereço Atual- Mauricio da Silva Lima
421,Ler,SS,73.24,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
422,Upata,VE,73.18,moderate rain,8.0086,-62.3989,Posada Villa Nela
423,Brae,GB,50.59,light rain,60.3964,-1.353,Busta House Hotel
424,Chifeng,CN,46.53,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
427,Sibolga,ID,83.59,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
428,Chimbote,PE,63.07,broken clouds,-9.0853,-78.5783,Hotel Briliá
429,Korla,CN,45.82,overcast clouds,41.7597,86.1469,Gulisitan Hotel
430,Keti Bandar,PK,79.47,clear sky,24.1447,67.4497,Haji laloo memon house
432,Inirida,CO,72.57,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
433,Korsor,DK,52.32,broken clouds,55.3299,11.1386,Comwell Klarskovgaard
434,Rafsanjan,IR,59.31,overcast clouds,30.4067,55.9939,Rafsanjan Tourism Hotel
435,Lompoc,US,52.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
436,Gidam,IN,71.82,clear sky,18.9833,81.4,Dhanshree Lodge And DormItory
437,Hohhot,CN,50.29,mist,40.8106,111.6522,Sheraton Hohhot Hotel
439,Rayong,TH,87.78,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
440,Botucatu,BR,58.51,scattered clouds,-22.8858,-48.445,Primar Plaza Hotel
442,Guerrero Negro,MX,65.16,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
444,Staraya Toropa,RU,45.01,overcast clouds,56.2801,31.6702,
445,Nhamunda,BR,77.5,scattered clouds,-2.1861,-56.7131,Pousada Da Praia
447,Axim,GH,77.9,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
448,Djibo,BF,75.43,few clouds,14.1022,-1.6306,Centre Des Ressources DPENA
449,Bitung,ID,86.85,overcast clouds,1.4451,125.1824,K2 Lembeh
451,Taoudenni,ML,72.23,clear sky,22.6783,-3.9836,
452,Gualaquiza,EC,62.1,light rain,-3.4,-78.55,Hotel Merceditas
456,Wad Madani,SD,71.55,clear sky,14.4012,33.5199,فندق يوغسلافيا
457,Tres Arroyos,AR,62.8,scattered clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
458,Puerto Madryn,AR,67.3,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
459,Mogadishu,SO,78.28,broken clouds,2.0371,45.3438,Hotel Juba
460,Klaksvik,FO,49.12,light rain,62.2266,-6.589,Airbnb rooms
465,Bida,NG,74.16,broken clouds,9.0833,6.0167,Royal Suite
466,Tsiroanomandidy,MG,69.08,scattered clouds,-18.7667,46.0333,Hotel Ravinala
468,Laguna,US,51.06,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
469,Bulawayo,ZW,66.67,clear sky,-20.15,28.5833,4 On Housman Backpackers
470,Alugan,PH,82.54,heavy intensity rain,12.2188,125.4808,JM Lodge
471,Abu Dhabi,AE,80.62,clear sky,24.4667,54.3667,Beach Rotana
472,Tura,IN,72.88,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
473,Chibuto,MZ,73.72,light rain,-24.6867,33.5306,Residência Masculina da Escola Superior de Negocios e Empreendedorismo de Chibuto
474,Baikunthpur,IN,69.48,clear sky,23.25,82.55,Hotel Shree Annapurna
475,Chanute,US,69.91,clear sky,37.6792,-95.4572,Guest House Motel Chanute
477,Naze,JP,76.12,broken clouds,28.3667,129.4833,Shishime Hotel
478,Road Town,VG,80.69,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
480,Umm Lajj,SA,71.92,clear sky,25.0213,37.2685,Moon light Furnished Units
481,Sao Filipe,CV,77.4,overcast clouds,14.8961,-24.4956,Hotel Xaguate
483,Ankpa,NG,69.84,broken clouds,7.3706,7.6253,AA Suites
484,Ponta Delgada,PT,69.49,broken clouds,37.7333,-25.6667,Vila Nova Hotel
485,Sorong,ID,84.2,broken clouds,-0.8833,131.25,Waigo Splash Hotel
486,Ferrol,ES,61.32,overcast clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
487,Half Moon Bay,US,54.63,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
489,Northam,GB,54.61,scattered clouds,51.0333,-4.2167,Durrant House Hotel
491,Kudahuvadhoo,MV,80.55,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
492,Uchana,IN,71.82,overcast clouds,29.4667,76.1667,दिल्ली
493,Goianesia,BR,71.64,broken clouds,-15.3175,-49.1175,Kamur Plaza Hotel - Goianésia
494,Karema,TZ,72.12,light rain,-6.8205,30.4389,
495,Itoigawa,JP,66.02,scattered clouds,37.0333,137.85,Hotel Route Inn Itoigawa
498,Roebourne,AU,85.46,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
499,Magan,ES,56.32,clear sky,39.9683,-3.931,Hotel Pattaya
500,Bam,IR,59.61,scattered clouds,29.106,58.357,Bam Tourist Hotel
501,Nalut,LY,58.14,clear sky,30.3333,10.85,
502,Naregal,IN,71.96,clear sky,15.5833,75.8167,Jai Hanuman Hotel
504,Geraldton,AU,72.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
505,Darnah,LY,66.42,clear sky,32.767,22.6367,فندق الفردوس
506,Yilan,TW,88.02,few clouds,24.757,121.753,Dar Chen Hotel
507,Mitsamiouli,KM,79.09,few clouds,-11.3847,43.2844,Foyer ADM
508,Pochutla,MX,77.83,light rain,15.7432,-96.4661,Hotel Posada San Jose
509,Cuitlahuac,MX,68.99,light rain,18.8167,-96.7167,Empacadora Sierra Madre
510,Warrensburg,US,71.67,clear sky,38.7628,-93.7361,Comfort Inn Warrensburg Station
512,Sibu,MY,82.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
513,Saint-Joseph,RE,76.48,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
514,Popondetta,PG,89.62,broken clouds,-8.7537,148.2534,Timos Transit House
515,Nichinan,JP,71.28,few clouds,31.6,131.3667,Guest House Aki
516,Nisia Floresta,BR,76.01,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
518,Machiques,VE,74.7,moderate rain,10.0644,-72.545,hotel el markes
520,Buala,SB,83.05,light rain,-8.145,159.5921,Maringe Lagoon Lodge
521,Doka,SD,73.04,scattered clouds,13.5167,35.7667,منصور عثمان
522,Coihaique,CL,50.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
523,Cessnock,AU,76.55,clear sky,-32.8333,151.35,Hunter Valley Motel
524,Dingle,PH,85.23,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
525,Sambava,MG,70.95,overcast clouds,-14.2667,50.1667,Melrose
526,Totness,SR,77.43,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
527,Morant Bay,JM,80.22,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
528,Pitkyaranta,RU,44.78,light rain,61.5734,31.4792,Pitkyaranta hotel
529,The Valley,AI,81.1,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
530,Malanje,AO,62.73,overcast clouds,-9.5402,16.341,Hotel Ginga
531,Antofagasta,CL,61.88,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
532,Pangkalanbuun,ID,87.31,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
533,Hofn,IS,43.74,overcast clouds,64.2539,-15.2082,Hótel Höfn
534,Luwuk,ID,86.54,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
535,Nara,JP,71.96,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
538,Rock Sound,BS,80.69,broken clouds,24.9,-76.2,Pink Corral Bay Property
540,Namatanai,PG,86.29,light rain,-3.6667,152.4333,Seagulls Inn Namatani
541,Ipixuna,BR,72.66,overcast clouds,-1.7625,-48.8043,Chalé do Mato
543,Tucurui,BR,74.68,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
544,Ibb,YE,59.29,clear sky,13.9667,44.1833,Hotel Amenities
548,Bar Harbor,US,48.02,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
549,Mbandaka,CD,70.29,overcast clouds,0.0487,18.2603,Guest House Epervier
551,Barra Do Garcas,BR,80.06,broken clouds,-15.89,-52.2567,Pousada Tropical
552,Calabozo,VE,75.67,overcast clouds,8.9242,-67.4293,Hotel Giardini
553,Maues,BR,73.9,broken clouds,-3.3836,-57.7186,Hotel Miramar
555,Moron,AR,71.35,few clouds,-34.6534,-58.6198,Hotel Morón
556,Rawson,AR,67.23,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
557,Bang Mun Nak,TH,79.75,overcast clouds,16.0278,100.3792,NIDA Rooms Phichit 55 Bang Mun Nak
560,Imeni Babushkina,RU,42.53,overcast clouds,59.7573,43.1285,"Gostevoy Dom ""Usol'ye"""
561,Benjamin Hill,MX,59.54,clear sky,30.1667,-111.1,Hotel Benjamín Hill
562,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
563,Atambua,ID,86.02,broken clouds,-9.1061,124.8925,Ros Muskanan
564,Goderich,CA,59.92,broken clouds,43.7501,-81.7165,Harmony Inn
566,Killarney,IE,57.61,light rain,52.05,-9.5167,Cahernane House Hotel - Killarney Hotel
568,Aconibe,GQ,66.16,light rain,1.2968,10.9369,
569,Port-Gentil,GA,76.17,heavy intensity rain,-0.7193,8.7815,Fengshui Residence
570,Manokwari,ID,82.49,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
572,Celestun,MX,76.93,clear sky,20.8667,-90.4,Posada Lilia
573,Marzuq,YE,61.52,clear sky,14.4,46.4667,حيد القفلة
574,Thunder Bay,CA,42.78,overcast clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
575,Santo Domingo,DO,81.03,scattered clouds,18.5001,-69.9886,Cabañas City Heart
576,Turayf,SA,48.45,clear sky,31.6725,38.6637,Turaif
577,Dubbo,AU,77.13,broken clouds,-32.25,148.6167,Quality Inn Dubbo International
578,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
579,Qui Nhon,VN,80.15,overcast clouds,13.7667,109.2333,Seagull Hotel
580,Seoul,KR,62.2,haze,37.5683,126.9778,LOTTE HOTEL SEOUL
582,Jodhpur,IN,75.58,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
583,Maragogi,BR,75.33,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
584,Monrovia,LR,76.33,moderate rain,6.3005,-10.7969,Sunset Inn
585,Westport,US,51.62,clear sky,41.1415,-73.3579,The Westport Inn
586,Denizli,TR,47.62,clear sky,37.8402,29.0698,Anemon Denizli Hotel
587,Manta,EC,71.38,clear sky,-0.95,-80.7333,Balandra Hotel
590,Mineiros,BR,70.43,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
591,Rafraf,TN,53.92,overcast clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
593,Socorro,US,72.61,clear sky,31.6546,-106.3033,guarderia imss papalote
595,Puerto Leguizamo,CO,74.17,overcast clouds,-0.1934,-74.7819,la casona de juancho
596,Ziyang,CN,83.98,scattered clouds,29.2497,117.8547,Wuyuan Great Wall Hotel
597,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
598,Asfi,MA,63.55,clear sky,32.2994,-9.2372,Hôtel Abda
599,Sandy Bay,AU,82.09,broken clouds,-42.913,147.3532,St Ives Hobart Accommodation Tasmania
600,Valentin Gomez Farias,MX,57.96,clear sky,28.2167,-106.5833,
602,Jutai,BR,74.55,broken clouds,-5.1833,-68.9,
605,Camacha,PT,63.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
607,Pareora,NZ,53.44,overcast clouds,-44.4871,171.2132,"Kingsdown Suite, Timaru"
608,Puerto Escondido,MX,81.43,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
609,Ishinomaki,JP,64.4,overcast clouds,38.4167,141.3,Ishinomaki Grand Hotel
610,Kattivakkam,IN,80.69,overcast clouds,13.2167,80.3167,Euronova Freezer
611,Ahmadpur Sial,PK,72.55,clear sky,30.6754,71.7483,M aqeel dhoobi
612,Hobyo,SO,80.4,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
613,Duayaw Nkwanta,GH,68.49,overcast clouds,7.1724,-2.1028,Royal Land Hotel
614,Vulcanesti,MD,45.39,few clouds,45.6842,28.4028,Hotel Speranta
616,Farafangana,MG,76.1,scattered clouds,-22.8167,47.8333,Miarina
617,Panshi,CN,51.42,overcast clouds,42.9422,126.0561,Shangkeyou Express Hotel
618,Meiganga,CM,64.8,few clouds,6.5167,14.3,DFR HOUSE
619,Witu,KE,75.36,light rain,-2.3889,40.4382,
620,Shambu,ET,52.07,light rain,9.5667,37.1,Wabe Hotel
622,Mabai,CN,65.88,few clouds,23.0128,104.4508,Yingpan Hostel
623,Vanimo,PG,82.9,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
625,Ipora,BR,71.28,few clouds,-16.4419,-51.1178,Oásis Motel
626,Douglas,US,68.67,overcast clouds,41.3,-96.167,Hilton Garden Inn Omaha West
627,Amapa,BR,71.62,overcast clouds,1.0,-52.0,
628,Farah,AF,56.82,clear sky,32.5,62.5,
